ID player,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_per_90s,Ast_per_90s,G+A_per_90s,G-PK_per_90s,G+A-PK_per_90s,xG_per_90s,xAG_per_90s,xG+xAG_per_90s,npxG_per_90s,npxG+xAG_per_90s
0,Gregor Kobel,SUI,GK,27-151,45,45,"4,035",44.8,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,Serhou Guirassy,GUI,FW,29-055,43,40,"3,627",40.3,32,8,40,25,7,9,6,0,33.4,26.3,6.3,32.6,34,66,176,0.79,0.2,0.99,0.62,0.82,0.86,0.16,1.02,0.67,0.84
2,Pascal Groß,GER,"MF,DF",33-325,44,39,"3,370",37.4,1,12,13,1,0,0,7,1,4.2,4.2,8.2,12.4,52,234,165,0.03,0.32,0.35,0.03,0.35,0.12,0.23,0.35,0.12,0.35
3,Nico Schlotterbeck,GER,DF,25-156,37,37,"3,272",36.4,0,5,5,0,0,0,9,2,1.8,1.8,2.4,4.3,54,284,19,0,0.14,0.14,0,0.14,0.05,0.07,0.13,0.05,0.13
4,Julian Brandt,GER,MF,29-004,43,39,"3,220",35.8,5,13,18,5,0,0,1,0,5,5,9.3,14.3,79,193,251,0.14,0.36,0.5,0.14,0.5,0.15,0.28,0.43,0.15,0.43
5,Emre Can,GER,"DF,MF",31-114,43,35,"3,196",35.5,6,1,7,1,5,5,5,1,3.7,0.6,0.7,1.3,25,140,17,0.17,0.03,0.2,0.03,0.06,0.11,0.02,0.13,0.02,0.04
6,Julian Ryerson,NOR,DF,27-170,40,37,"3,096",34.4,1,3,4,1,0,0,8,1,0.8,0.8,6.2,7,77,114,162,0.03,0.09,0.12,0.03,0.12,0.02,0.18,0.21,0.02,0.21
7,Jamie Gittens,ENG,"FW,MF",20-271,46,34,"2,767",30.7,12,3,15,12,0,0,4,0,5.3,5.3,3.5,8.8,160,62,267,0.39,0.1,0.49,0.39,0.49,0.18,0.12,0.3,0.18,0.3
8,Ramy Bensebaini,ALG,DF,30-020,42,30,"2,707",30.1,3,7,10,3,0,0,11,0,2.5,2.5,4.4,6.9,37,159,80,0.1,0.23,0.33,0.1,0.33,0.09,0.15,0.24,0.09,0.24
9,Waldemar Anton,GER,DF,28-290,35,27,"2,452",27.2,3,2,5,3,0,0,5,0,1.7,1.7,1.3,3,34,136,29,0.11,0.07,0.18,0.11,0.18,0.06,0.05,0.11,0.06,0.11
10,Marcel Sabitzer,AUT,MF,31-050,37,28,"2,435",27.1,0,0,0,0,0,0,4,0,2.9,2.9,1.9,4.8,26,129,95,0,0,0,0,0,0.11,0.07,0.19,0.11,0.19
11,Maximilian Beier,GER,"FW,MF",22-201,43,24,"2,340",26,9,5,14,9,0,0,4,0,8.9,8.9,3.7,12.7,31,43,156,0.35,0.19,0.54,0.35,0.54,0.36,0.15,0.52,0.36,0.52
12,Felix Nmecha,GER,MF,24-208,34,25,"2,124",23.6,4,2,6,4,0,0,5,0,1.2,1.2,1.4,2.6,22,110,16,0.17,0.08,0.25,0.17,0.25,0.05,0.06,0.12,0.05,0.12
13,Karim Adeyemi,GER,"FW,MF",23-108,34,25,"2,043",22.7,11,6,17,11,0,0,5,0,7,7,7.1,14.2,98,40,202,0.48,0.26,0.75,0.48,0.75,0.32,0.33,0.65,0.32,0.65
14,Niklas Süle,GER,DF,29-245,19,14,"1,258",14,0,0,0,0,0,0,1,0,0.6,0.6,0,0.7,14,58,8,0,0,0,0,0,0.05,0,0.05,0.05,0.05
15,Yan Couto,BRA,DF,22-337,29,10,"1,154",12.8,0,1,1,0,0,0,7,0,0.3,0.3,1,1.3,54,79,102,0,0.08,0.08,0,0.08,0.03,0.08,0.1,0.03,0.1
16,Donyell Malen,NED,FW,26-117,21,10,959,10.7,5,1,6,5,0,0,2,0,4.5,4.5,1.1,5.7,28,20,99,0.47,0.09,0.56,0.47,0.56,0.48,0.12,0.6,0.48,0.6
17,Daniel Svensson,SWE,DF,23-083,14,10,952,10.6,1,2,3,1,0,0,0,0,0.9,0.9,1.4,2.3,13,45,45,0.09,0.19,0.28,0.09,0.28,0.08,0.13,0.21,0.08,0.21
18,Gio Reyna,USA,"MF,FW",22-174,24,5,616,6.8,2,1,3,2,0,0,3,0,1,1,0.9,1.9,7,35,28,0.29,0.15,0.44,0.29,0.44,0.14,0.14,0.28,0.14,0.28
19,Julien Duranville,BEL,"FW,MF",19-001,21,4,610,6.8,1,0,1,1,0,0,3,0,0.5,0.5,0.7,1.2,31,16,63,0.15,0,0.15,0.15,0.15,0.07,0.11,0.19,0.07,0.19
20,Salih Özcan,TUR,MF,27-115,13,3,412,4.6,0,0,0,0,0,0,0,0,0.3,0.3,0.4,0.7,4,32,5,0,0,0,0,0,0.07,0.09,0.16,0.07,0.16
21,Alexander Meyer,GER,GK,34-023,4,3,315,3.5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0.04,0.04,0,0.04
22,Carney Chukwuemeka,ENG,"MF,FW",21-198,12,2,311,3.5,1,0,1,1,0,0,1,0,0.7,0.7,1.5,2.2,17,24,25,0.29,0,0.29,0.29,0.29,0.21,0.43,0.63,0.21,0.63
23,Almugera Kabar,GER,DF,18-334,5,1,137,1.5,0,0,0,0,0,0,2,1,0,0,0.5,0.5,5,6,2,0,0,0,0,0,0,0.36,0.36,0,0.36
24,Yannik Lührs,GER,DF,21-239,3,1,127,1.4,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0.03,0.03,0,0.03
25,Cole Campbell,USA,FW,19-075,6,0,80,0.9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
26,Ayman Azhil,MAR,MF,24-026,2,0,26,0.3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
27,Kjell-Arik Wätjen,GER,MF,19-079,2,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Jordi Paulina,NED,FW,20-225,1,0,9,0.1,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,,,,,
29,Tyler Meiser,GER,DF,18-066,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
